exit_month_et,symbol,trades,gross_pnl_dollars_dynamic,gross_points,avg_trade_dollars_dynamic,avg_points_per_trade,win_rate_pct,cumulative_pnl_dollars_dynamic
2025-09,MYM,1,-377.9017857142935,-151.1607142857174,-377.9017857142935,-151.1607142857174,0.0,-377.9017857142935
2025-10,MES,21,5701.919642857138,228.0767857142855,271.519982993197,10.860799319727882,61.904761904761905,5701.919642857138
2025-10,MGC,31,19043.82142857144,380.87642857142873,614.316820276498,12.286336405529958,64.51612903225806,19043.82142857144
2025-10,MYM,22,2091.25,836.5,95.05681818181819,38.02272727272727,59.09090909090909,1713.3482142857065
2025-10,NQ,27,5716.696428571449,571.6696428571449,211.72949735449814,21.172949735449812,55.55555555555556,5716.696428571449
2025-11,MES,18,2438.459821428569,97.53839285714275,135.46999007936495,5.418799603174597,44.44444444444444,8140.3794642857065
2025-11,MGC,28,4863.303571428628,97.26607142857256,173.68941326530813,3.4737882653061627,46.42857142857143,23907.125000000065
2025-11,MYM,19,2312.3928571428587,924.9571428571435,121.7048872180452,48.681954887218076,57.89473684210527,4025.741071428565
2025-11,NQ,28,20848.455357142848,2084.845535714285,744.5876913265303,74.45876913265303,60.71428571428571,26565.151785714297
2025-12,MES,9,-1523.281249999991,-60.931249999999636,-169.2534722222212,-6.770138888888848,11.11111111111111,6617.098214285716
2025-12,MGC,20,5383.553571428456,107.67107142856912,269.1776785714228,5.383553571428456,50.0,29290.67857142852
2025-12,MYM,10,2668.125,1067.25,266.8125,106.725,50.0,6693.866071428565
2025-12,NQ,15,3251.27678571429,325.127678571429,216.751785714286,21.6751785714286,53.333333333333336,29816.428571428587
2026-01,MES,25,6787.5,271.5,271.5,10.86,72.0,13404.598214285716
2026-01,MGC,42,20082.80357142853,401.6560714285706,478.16198979591735,9.563239795918347,47.61904761904761,49373.48214285705
2026-01,MYM,19,550.785714285721,220.31428571428842,28.988721804511634,11.595488721804653,42.10526315789473,7244.651785714286
2026-01,NQ,28,5279.4821428571595,527.948214285716,188.55293367347,18.855293367347,53.57142857142857,35095.91071428575
2026-02,MES,24,1512.566964285702,60.50267857142808,63.02362351190425,2.52094494047617,45.83333333333333,14917.165178571417
2026-02,MGC,21,7627.803571428603,152.55607142857207,363.22874149660015,7.264574829932004,33.33333333333333,57001.28571428565
2026-02,MYM,16,-9.883928571434808,-3.953571428573923,-0.6177455357146755,-0.2470982142858702,37.5,7234.767857142851
2026-02,NQ,27,9581.973214285717,958.1973214285717,354.8878968253969,35.4887896825397,44.44444444444444,44677.883928571464
2026-03,MCL,14,-4812.660714285741,-9.625321428571482,-343.7614795918386,-0.6875229591836772,21.428571428571427,-4812.660714285741
2026-03,MES,36,8943.549107142804,357.74196428571213,248.43191964285566,9.937276785714225,50.0,23860.71428571422
2026-03,MGC,29,33289.64285714287,665.7928571428574,1147.9187192118231,22.958374384236464,51.724137931034484,90290.92857142852
2026-03,MYM,33,4416.660714285681,1766.6642857142724,133.83820346320246,53.53528138528098,48.484848484848484,11651.428571428532
2026-03,NQ,42,17344.142857142797,1734.4142857142797,412.95578231292376,41.295578231292374,50.0,62022.02678571426
2026-04,MCL,1,-358.98214285715113,-0.7179642857143023,-358.98214285715113,-0.7179642857143023,0.0,-5171.642857142892
2026-04,MES,4,562.5,22.5,140.625,5.625,50.0,24423.21428571422
2026-04,MGC,3,437.58928571428453,8.751785714285692,145.86309523809484,2.9172619047618973,33.33333333333333,90728.51785714281
2026-04,MYM,1,-259.375,-103.75,-259.375,-103.75,0.0,11392.053571428532
2026-04,NQ,5,2669.937499999978,266.9937499999978,533.9874999999956,53.398749999999566,60.0,64691.96428571424
