side,setup_type,bridge_type,setup_tier,entry_variant,planned_entry_price,planned_stop_price,planned_target_price,partial_target_price,runner_target_price,stop_points,tp_points,planned_rr,entry_price,exit_price,realized_points,realized_dollars_5_mnq,return_pct,entry_time_et_naive,exit_time_et_naive,entry_month_et,exit_month_et,planned_target_dollars_10_mnq,report_contracts,entry_time_et,exit_time_et,calendar_exit_date_et,exit_apex_session_date,gross_pnl_dollars_dynamic,gross_pnl_dollars_5_mnq,gross_pnl_dollars_10_mnq
SHORT,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,25304.5,25329.5,25058.25,25279.5,25058.25,25.0,246.25,9.85,25304.5,25279.0,25.5,255.0,0.0010077258985555,2026-02-11 00:30:00,2026-02-11 01:17:00,2026-02,2026-02,4925.0,3,2026-02-11 00:30:00,2026-02-11 01:17:00,2026-02-11,2026-02-10,153.0,255.0,510.0
SHORT,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,25304.5,25329.5,25058.25,25279.5,25058.25,25.0,246.25,9.85,25304.5,25304.5,0.0,0.0,-0.0,2026-02-11 00:30:00,2026-02-11 08:30:00,2026-02,2026-02,4925.0,3,2026-02-11 00:30:00,2026-02-11 08:30:00,2026-02-11,2026-02-10,0.0,0.0,0.0
SHORT,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,24824.75,24856.75,24678.5,24806.75,24678.5,32.0,146.25,4.5703125,24823.25,24856.75,-33.5,-335.0,-0.0013495412566848,2026-02-22 21:12:00,2026-02-22 22:02:00,2026-02,2026-02,2925.0,3,2026-02-22 21:12:00,2026-02-22 22:02:00,2026-02-22,2026-02-22,-201.0,-335.0,-670.0
SHORT,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,24825.75,24855.25,24678.5,24805.25,24678.5,29.5,147.25,4.991525423728813,24826.5,24855.25,-28.75,-287.5,-0.0011580367752199,2026-02-22 23:24:00,2026-02-23 01:34:00,2026-02,2026-02,2945.0,3,2026-02-22 23:24:00,2026-02-23 01:34:00,2026-02-23,2026-02-22,-172.5,-287.5,-575.0
SHORT,LONDON_CONTINUATION,C2C3,A,PULLBACK_1M,24889.5,24923.5,24738.75,24873.5,24738.75,34.0,150.75,4.4338235294117645,24888.25,24923.5,-35.25,-352.5,-0.001416330999568,2026-02-23 03:05:00,2026-02-23 03:51:00,2026-02,2026-02,3015.0,10,2026-02-23 03:05:00,2026-02-23 03:51:00,2026-02-23,2026-02-22,-705.0,-352.5,-705.0
SHORT,LONDON_CONTINUATION,C2C3,A,PULLBACK_1M,24833.0,24869.89017857143,24668.0,24796.10982142857,24668.0,36.890178571429715,165.0,4.472735193745777,24835.5,24793.5,42.0,420.0,0.0016911276197378,2026-02-24 02:45:00,2026-02-24 03:09:00,2026-02,2026-02,3300.0,10,2026-02-24 02:45:00,2026-02-24 03:09:00,2026-02-24,2026-02-23,840.0,420.0,840.0
SHORT,LONDON_CONTINUATION,C2C3,A,PULLBACK_1M,24833.0,24869.89017857143,24668.0,24796.10982142857,24668.0,36.890178571429715,165.0,4.472735193745777,24835.5,24835.5,0.0,0.0,-0.0,2026-02-24 02:45:00,2026-02-24 04:14:00,2026-02,2026-02,3300.0,10,2026-02-24 02:45:00,2026-02-24 04:14:00,2026-02-24,2026-02-23,0.0,0.0,0.0
LONG,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,25076.25,25049.75,25361.75,25099.75,25361.75,26.5,285.5,10.773584905660377,25075.75,25106.75,31.0,310.0,0.0012362541499257,2026-02-25 03:38:00,2026-02-25 06:40:00,2026-02,2026-02,5710.0,8,2026-02-25 03:38:00,2026-02-25 06:40:00,2026-02-25,2026-02-24,496.0,310.0,620.0
LONG,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,25076.25,25049.75,25361.75,25099.75,25361.75,26.5,285.5,10.773584905660377,25075.75,25361.75,286.0,2860.0,0.011405441512218,2026-02-25 03:38:00,2026-02-25 14:02:00,2026-02,2026-02,5710.0,8,2026-02-25 03:38:00,2026-02-25 14:02:00,2026-02-25,2026-02-24,4576.0,2860.0,5720.0
LONG,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,25373.25,25346.15625,25494.75,25398.34375,25494.75,27.09375,121.5,4.484429065743945,25373.0,25346.15625,-26.84375,-268.4375,-0.0010579651598155,2026-02-26 03:16:00,2026-02-26 03:47:00,2026-02,2026-02,2430.0,8,2026-02-26 03:16:00,2026-02-26 03:47:00,2026-02-26,2026-02-25,-429.5,-268.4375,-536.875
LONG,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,25392.5,25367.5,25494.75,25417.5,25494.75,25.0,102.25,4.09,25390.5,25367.5,-23.0,-230.0,-0.0009058506134184,2026-02-26 04:39:00,2026-02-26 05:23:00,2026-02,2026-02,2045.0,8,2026-02-26 04:39:00,2026-02-26 05:23:00,2026-02-26,2026-02-25,-368.0,-230.0,-460.0
SHORT,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,24698.25,24739.040178571428,24352.0,24667.959821428572,24352.0,40.79017857142753,346.25,8.488562985662906,24700.75,24654.75,46.0,460.0,0.0018622916308209,2026-03-03 02:28:00,2026-03-03 03:01:00,2026-03,2026-03,6925.0,10,2026-03-03 02:28:00,2026-03-03 03:01:00,2026-03-03,2026-03-02,920.0,460.0,920.0
SHORT,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,24698.25,24739.040178571428,24352.0,24667.959821428572,24352.0,40.79017857142753,346.25,8.488562985662906,24700.75,24700.75,0.0,0.0,-0.0,2026-03-03 02:28:00,2026-03-03 11:46:00,2026-03,2026-03,6925.0,10,2026-03-03 02:28:00,2026-03-03 11:46:00,2026-03-03,2026-03-02,0.0,0.0,0.0
SHORT,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,24622.25,24647.25,24352.0,24597.25,24352.0,25.0,270.25,10.81,24621.75,24647.25,-25.5,-255.0,-0.001035669682293,2026-03-03 21:30:00,2026-03-03 21:47:00,2026-03,2026-03,5405.0,3,2026-03-03 21:30:00,2026-03-03 21:47:00,2026-03-03,2026-03-03,-153.0,-255.0,-510.0
SHORT,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,24593.0,24648.87232142857,24352.0,24537.12767857143,24352.0,55.87232142857101,241.0,4.313405883951004,24597.75,24537.75,60.0,600.0,0.0024392474921486,2026-03-03 23:20:00,2026-03-04 00:27:00,2026-03,2026-03,4820.0,3,2026-03-03 23:20:00,2026-03-04 00:27:00,2026-03-04,2026-03-03,360.0,600.0,1200.0
